,src,coronavirus,length
28,"OBJECTIVES: To present to report the first case of ureteral lithiasis resolved using a new endoscopic approach, which we call microureteroscopy (m-URS) and attempts to reduce the ureteral damage caused by conventional instrumentation. MATERIAL AND METHODS: We selected a 53-year-old patient with a 16-mm calculus in the right distal ureter. For endoscopic access, we used a 4.8 Fr sheath from the microperc set and fragmented the stone with a 230-micron laser fiber. RESULTS: Complete fragmentation of the stone was achieved. We placed a JJ catheter due to significant ureteral edema. The surgical time and postsurgical stay were 156minutes and 24hours, respectively. There were no complications, the requirements for analgesia were minimal, and the patient was free of residual stones. CONCLUSIONS: The m-URS technique is feasible, simple and effective for the treatment of pelvic ureteral lithiasis in women and optimizes minimal invasion, with results that can be comparable to conventional endoscopic techniques in terms of ease of access and quality of endoscopic vision without affecting the resolution capacity. Larger studies and greater technological development is needed to define the definitive role of this procedure. Currently, its major limitations lie in the treatment of proximal ureter lithiasis and in the treatment of men. This technique could also be a viable alternative for pediatric patients.",0,1416
29,"INTRODUCTION: The celiac disease is an autoimmune bowel disease trigger by gliadine proteins, that can has systemic involvement with varied neurological manifestation since polineuropathy, ataxia, epilepsy, migraine to encephalitis. The aim of the current work is to report a case of possible refractory encephalitis due to celiac disease. CASE REPORT: A 45 years-old man with histopathologic diagnosis of celiac disease but negative celiac antibodies developed encephalic, brainstem and periphery nervous system manifestations: cognitive declaim and seizures, diplopia and ataxia, polyneuropathy and polyradiculopathy respectively; inflammatory cebrospinal fluid and cortico-subcortical and multiple brainstem lesions with mild contrast enhancement; the neurologic deficits progress in spite of gluten a free diet and immuno-suppressive treatment. During the illness process some pathologies with nervous system and intestinal involvement were discarded: sarcoidosis, systemic lupus; Sjogren syndrome, paraneoplastic syndromes, Whipple disease, AIDS and B12 vitamin deficit. CONCLUSION: The encephalitis is an infrequent clinical manifestation of the celiac disease despite the high prevalence of the celiac disease in the general population. It presents with numerous differential diagnosis, with requires high suspicious diagnosis.",0,1334
30,"Cleidocranial dysplasia is an uncommon bone dysplasia with an autosomal dominant inheritance pattern characterized by short stature, large fontanels, midface hypoplasia, absence or hypoplasia of clavicles and orodental alterations. This is Estudio clinico y molecular en una familia con displasia cleidocraneal Clinical and molecular study in a family with cleidocranial dysplasia produced by mutations in the RUNX2 gene located at 6p21.1. We report two male adolescents (cousins), with cleidocranial dysplasia who presented a heterozygous missense mutation (c.674G> A, p.R225Q) in the RUNX2 gene, characterized by severe phenotype, such as absent clavicles, but with variation in the delayed fontanel closure, dental abnormalities (anomalies in shape and number) and scoliosis, thus demonstrating intrafamilial variation in these patients with the same genotype.",0,863
31,"INTRODUCTION: Hypertrophic pachymeningitis is an infrequent disorder that produces focal or diffuse thickening of the dura mater. It can be idiopathic or secondary to infectious, autoimmune or neoplastic processes. The recently described 'IgG4-related disease' could be the cause of many cases considered cryptogenic. CASE REPORT: A 54-year-old woman, with a history of bronchial asthma, presented with headache, dizziness and hearing loss on her left ear. The brain MRI study with gadolinium showed enhancement and thickening of the dura mater, extending from lateral wall of left cavernous sinus and medial temporal lobe to cerebellopontine angle and ipsilateral tentorium. CSF had 10 leukocytes/microL (90% mononuclear), with 1 g/L protein and without glucose consumption. Pathology showed fibrosis and lymphoplasmacytic infiltrate, with 16 IgG4+ plasma cells per high power field. The rest of analytical and microbiological studies were normal or negative. The plasma IgG4 rate was within normal limits. After treatment with steroids there was clinical improvement accompanied by the virtual disappearance of the alterations detected in neuroimaging. CONCLUSIONS: Hypertrophic pachymeningitis as a manifestation of IgG4-related disease can be diagnosed based on MRI findings if plasma IgG4 is elevated. In doubtful cases we must resort to meningeal biopsy. Corticosteroid therapy is usually effective and it is the first line treatment.",0,1440
32,"BACKGROUND: Tracheal bronchus is considered a rare, congenital anomaly, which implies the abnormal origin of a bronchus. When related to repetitive infections the bronchus must be resected, usually via an open procedure. OBJECTIVE: The aim of this paper is to present the case of a patient with tracheal bronchus of the upper right lobe who presented with repetitive pneumonias. Additionally, this text intends to expose the methodology for its diagnosis and surgical resolution through a thoracoscopic lobectomy. CLINICAL CASE: One year old female patient who presented with the disorder at two months of age. The patient presented with constant coughing and persistent fever alongside repetitive pneumonias in the upper right lobe. In order to discard the possibility of gastroesophageal reflux, a bronchoscopy and a panendoscopy of the digestive tube were conducted. The aforesaid procedure demonstrated the existence of a tracheal bronchus located in the right lobe, with functional bronchial segmentation. With these findings and due to the presence of repetitive infections, an apical right lobectomy was performed through a thoracoscopy, with favourable results. CONCLUSIONS: Tracheal bronchus is a rare anomaly that on many occasions is asymptomatic; nonetheless, when related to repetitive infections, a lobectomy must be carried out to avoid further pulmonary damage. This can be done through a thoracoscopy, as was the case with our patient. When treating these patients, it is worth considering they tend to have a different anatomy and to consider the ease at which they can sustain severe inflammation due to repetitive infections.",0,1645
33,"The use of ultrasound imaging has recently been increasing in numerous dermatologic diseases. This noninvasive technique provides additional details on the structure and vascularization of skin lesions. Kaposi sarcoma is a vascular tumor that typically arises in the skin and mucosas. It can spread to lymph nodes and internal organs. We performed B-mode and color Doppler ultrasound studies in 3 patients with a clinical diagnosis of Kaposi sarcoma confirmed by histological examination. We found differences in the ultrasound pattern between nodular and plaque lesions, in both B-mode and color Doppler. We believe that skin ultrasound imaging could be a useful technique for studying cutaneous Kaposi sarcoma, providing additional information on the structural and vascular characteristics of the lesion.",0,807
34,"Low back pain during pregnancy is a common cause of medical consultation. Although back pain is very common, the incidence of low back pain secondary to lumbar disk herniation in pregnancy is low (1: 10,000). Cauda equina syndrome from lumbar disk herniation is a serious complication. The delay in diagnosis and treatment can be a cause of chronic disability secondary to neurological sequelae. Numerous cases of disk herniation in pregnancy have been reported, however the association of a cauda equina syndrome as a result of disk herniation is rare. A case is presented of cauda equina syndrome in a pregnant woman at 12-week gestation.",0,640
35,"The appearance of a subdural hygroma after the rupture of an arachnoid cyst wall is extremely rare, with very few cases described in the literature. Most cases are due to a traumatic cause. The therapeutic approach in symptomatic cases is controversial, with a current tendency toward conservative management initially. In those cases that require surgical treatment, multiple therapeutic options are available, with fenestration techniques being recommended as first-line treatment. We describe 2cases treated in our centre and review the literature.",0,551
36,"The role of Streptococcus pneumoniae as a causative agent of skin and soft tissue infections (SSTI) is unusual and its clinical interpretation is difficult. We describe here three cases of SSTI due to S. pneumoniae in patients admitted to the Provincial Pediatric Hospital of Misiones, Argentina that were detected during 10 years of invasive disease (ID) surveillance documented in 2010, 2011 and 2015. These cases involved two girls aged 8 and 7 months old, and a two-year-old male child with diagnoses of gluteal abscess, preseptal cellulites and pyoderma respectively. All the patients were eutrophic and in good general condition on admission; one of them was seropositive for HIV. Antimicrobial susceptibility and serotypes were framed within the local epidemiology of invasive pneumococcal disease. Despite its low frequency, S. pneumoniae as an etiological agent of SSTI must be considered. Our findings revalue the role of the diagnostic laboratory and contribute to document the behavior of this pathogen.",0,1015
37,"Microscopic polyangiitis (MPA) is a systemic disease included in the Chapel Hill 2012 Classification as necrotizing vasculitis affecting capillaries, venules and arterioles. It usually expresses antineutrophil cytoplasmic antibodies (ANCA) and has a perinuclear immunofluorescence pattern and correlation with anti-myeloperoxidase (MPO) antibodies. Capillaritis with alveolar hemorrhage is the most common manifestation of lung disease. Interstitial lung disease (ILD) is uncommon, with usual interstitial pneumonia being the predominant pattern. However, other patterns such as organizing pneumonia have been described. No guidelines exist for treating patients with ILD and, currently, ANCA-associated vasculitis (AAV) is managed along the lines of small vessel vasculitis. The prognosis with this association is uncertain, with possibilities of relapse and a fatal outcome. We present a case in which ILD was the first manifestation of MPA, without alveolar hemorrhage, with subsequent renal involvement and, in which, the established treatment produced a significant clinical improvement.",0,1092
38,"BACKGROUND: Splenic abscesses are rare entities; reports are commonly described in immunocompromised patients (72%) as: hematologic diseases, diabetes, endocarditis, acquired immunodeficiency syndrome, transplant patients and subjects who had abdominal trauma or splenic infarction. The main and most serious complication is the abscess rupture into the peritoneal cavity or adjacent organs (stomach or colon), which determines hemodynamic instability or septic state. CLINICAL CASE: Fifty-year-old man, who was admitted at Emergency Room due eight days' progressive, oppressive, and current pain; intensity 4/10, irradiated at hemi-back, which was higher intensity during the standing and decreased at supine position. It was accompanied by nausea and vomiting in two occasions. LABORATORY RESULTS: Hemoglobin 15.1g/dl, hematocrit 45.2%, platelets 176x10(3), 23.1x10(3) leukocytosis, neutrophils 92%. Simple abdominal radiographic studies revealed in 'ground glass' and radiopaque imagines. CONCLUSIONS: At presence of free air inside the abdominal cavity, is usually to think of a complicated diverticular disease, intestinal perforation or perforated peptic ulcer. The actual medical literature described very few cases of splenic abscess with pneumoperitoneum as cardinal manifestation. In our case, the splenic abscess was detected during exploratory laparotomy and only in retrospective the imaging studies were interpreted.",0,1430
39,"INTRODUCTION: Contralateral sensorineural hearing loss (CSNHL) after vestibular schwannoma (VS) is a severe complication, especially in those cases in which hearing preservation in the operated side was not possible. There are several theories that attempt to explain this issue, but there is no established guideline of treatment. MATERIAL AND METHODS: We report 4 patients treated in our institution who developed a severe CSNHL after surgery. RESULTS: Of the 185 cases of VS treated with surgery, 4 patients (2.2%) developed a CSNHL after VS surgery. After medical treatment, partial recovery of hearing occurred in one patient the other 3 patients presented a well-established severe SNHL. CONCLUSIONS: Established treatment guidelines do not exist, but the use of high doses of corticosteroids has been recommended and cochlear implant in cases with no recovery and complete hearing loss may be useful.",0,907
40,"INTRODUCTION: Mycotic infections due to Aspergillus spp, are the main mycotic associated infections in liver transplant patients, with mortality rates up to 90% of the cases. Almost 50% of patients will de velop an infection during the first months after transplantation, of which 10% are associated with op portunistic agents. OBJECTIVE: To describe the diagnosis and management of an Invasive Pulmonary Aspergillosis (IPA) episode in a liver transplant patient. CASE REPORT: 11-months-old patient with liver transplant due to a biliary atresia who developed severe pneumonia associated with mechanical ventilation. The bronchoalveolar lavage showed high levels of galactomannan and positive culture for Aspergillus fumigatus leading to an IPA diagnosis. This episode was treated with antifungal with a favorable outcome. CONCLUSION: The IPA is an opportunistic infection in liver transplant patients, with high mortality rates, that must be suspected in this group of patients since an early diagnosis and treatment reduce mortality.",0,1035
